sid,pid,y
s1,p186,0
s1,p187,1
s1,p188,0
s1,p189,0
s1,p190,1
s1,p191,0
s1,p192,0
s1,p193,0
s1,p194,0
s1,p195,0
s1,p196,0
s1,p197,0
s1,p198,0
s1,p199,1
s1,p200,1
s2,p1,1
s2,p2,1
s2,p3,1
s2,p4,1
s2,p5,0
s2,p6,1
s2,p7,1
s2,p8,1
s2,p9,0
s2,p10,1
s2,p11,0
s2,p12,0
s2,p13,0
s2,p14,0
s2,p15,1
s2,p16,1
s2,p17,0
s2,p18,1
s2,p19,0
s2,p20,0
s2,p21,0
s2,p22,1
s2,p23,0
s2,p24,0
s2,p25,0
s2,p26,0
s2,p27,1
s2,p28,1
s2,p29,0
s2,p30,0
s2,p31,1
s2,p32,1
s2,p33,0
s2,p34,1
s2,p35,0
s2,p36,0
s2,p37,1
s2,p38,0
s2,p39,0
s2,p40,0
s2,p41,1
s2,p42,1
s2,p43,0
s2,p44,0
s2,p45,0
s2,p46,0
s2,p47,1
s2,p48,0
s2,p49,1
s2,p50,1
s2,p51,1
s2,p52,0
s2,p53,1
s2,p54,0
s2,p55,0
s2,p56,1
s2,p57,0
s2,p58,1
s2,p59,1
s2,p60,0
s2,p61,1
s2,p62,1
s2,p63,0
s2,p64,1
s2,p65,1
s2,p66,1
s2,p67,1
s2,p68,1
s2,p69,0
s2,p70,0
s2,p71,0
s2,p72,0
s2,p73,0
s2,p74,0
s2,p75,1
s2,p76,0
s2,p77,1
s2,p78,1
s2,p79,1
s2,p80,0
s2,p81,0
s2,p82,1
s2,p83,1
s2,p84,0
s2,p85,0
s2,p86,0
s2,p87,1
s2,p88,0
s2,p89,1
s2,p90,0
s2,p91,1
s2,p92,1
s2,p93,1
s2,p94,0
s2,p95,0
s2,p96,0
s2,p97,0
s2,p98,1
s2,p99,1
s2,p100,1
s2,p101,0
s2,p102,1
s2,p103,1
s2,p104,1
s2,p105,1
s2,p106,1
s2,p107,1
s2,p108,0
s2,p109,1
s2,p110,0
s2,p111,1
s2,p112,0
s2,p113,1
s2,p114,1
s2,p115,0
s2,p116,1
s2,p117,1
s2,p118,1
s2,p119,0
s2,p120,1
s2,p121,0
s2,p122,0
s2,p123,1
s2,p124,1
s2,p125,0
s2,p126,1
s2,p127,1
s2,p128,1
s2,p129,1
s2,p130,0
s2,p131,1
s2,p132,1
s2,p133,1
s2,p134,0
s2,p135,1
s2,p136,0
s2,p137,0
s2,p138,0
s2,p139,0
s2,p140,0
s2,p141,0
s2,p142,1
s2,p143,0
s2,p144,0
s2,p145,0
s2,p146,1
s2,p147,1
s2,p148,0
s2,p149,1
s2,p150,1
s2,p151,1
s2,p152,0
s2,p153,1
s2,p154,0
s2,p155,0
s2,p156,0
s2,p157,0
s2,p158,1
s2,p159,0
s2,p160,0
s2,p161,1
s2,p162,1
s2,p163,0
s2,p164,0
s2,p165,0
s2,p166,1
s2,p167,1
s2,p168,1
s2,p169,0
s2,p170,0
s2,p171,0
s2,p172,0
s2,p173,0
s2,p174,0
s2,p175,0
s2,p176,0
s2,p177,0
s2,p178,1
s2,p179,0
s2,p180,1
s2,p181,1
s2,p182,1
s2,p183,0
s2,p184,0
s2,p185,0
s2,p186,0
s2,p187,1
s2,p188,0
s2,p189,0
s2,p190,0
s2,p191,0
s2,p192,0
s2,p193,0
s2,p194,0
s2,p195,0
s2,p196,1
s2,p197,0
s2,p198,1
s2,p199,0
s2,p200,1
s3,p1,0
s3,p2,0
s3,p3,0
s3,p4,1
s3,p5,0
s3,p6,0
s3,p7,1
s3,p8,0
s3,p9,1
s3,p10,1
s3,p11,0
s3,p12,1
s3,p13,0
s3,p14,1
s3,p15,0
s3,p16,1
s3,p17,1
s3,p18,1
s3,p19,1
s3,p20,1
s3,p21,1
s3,p22,1
s3,p23,1
s3,p24,0
s3,p25,1
s3,p26,1
s3,p27,1
s3,p28,0
s3,p29,0
s3,p30,1
s3,p31,1
s3,p32,0
s3,p33,0
s3,p34,0
s3,p35,0
s3,p36,0
s3,p37,1
s3,p38,1
s3,p39,1
s3,p40,0
s3,p41,1
s3,p42,0
s3,p43,0
s3,p44,1
s3,p45,1
s3,p46,0
s3,p47,1
s3,p48,1
s3,p49,0
s3,p50,1
s3,p51,1
s3,p52,0
s3,p53,0
s3,p54,0
s3,p55,1
s3,p56,0
s3,p57,0
s3,p58,0
s3,p59,0
s3,p60,1
s3,p61,0
s3,p62,1
s3,p63,0
s3,p64,1
s3,p65,0
s3,p66,1
s3,p67,1
s3,p68,0
s3,p69,1
s3,p70,1
s3,p71,1
s3,p72,1
s3,p73,1
s3,p74,1
s3,p75,1
s3,p76,1
s3,p77,1
s3,p78,1
s3,p79,1
s3,p80,1
s3,p81,1
s3,p82,0
s3,p83,0
s3,p84,1
s3,p85,1
s3,p86,1
s3,p87,1
s3,p88,0
s3,p89,1
s3,p90,0
s3,p91,0
s3,p92,0
s3,p93,0
s3,p94,0
s3,p95,1
s3,p96,1
s3,p97,1
s3,p98,0
s3,p99,0
s3,p100,0
s3,p101,1
s3,p102,1
s3,p103,1
s3,p104,1
s3,p105,1
s3,p106,1
s3,p107,0
s3,p108,1
s3,p109,0
s3,p110,1
s3,p111,0
s3,p112,1
s3,p113,0
s3,p114,0
s3,p115,1
s3,p116,0
s3,p117,1
s3,p118,0
s3,p119,1
s3,p120,1
s3,p121,1
s3,p122,1
s3,p123,1
s3,p124,1
s3,p125,0
s3,p126,0
s3,p127,0
s3,p128,0
s3,p129,0
s3,p130,0
s3,p131,0
s3,p132,0
s3,p133,1
s3,p134,1
s3,p135,0
s3,p136,0
s3,p137,1
s3,p138,1
s3,p139,1
s3,p140,1
s3,p141,0
s3,p142,0
s3,p143,1
s3,p144,1
s3,p145,1
s3,p146,0
s3,p147,1
s3,p148,1
s3,p149,0
s3,p150,0
s3,p151,1
s3,p152,1
s3,p153,1
s3,p154,0
s3,p155,0
s3,p156,0
s3,p157,1
s3,p158,0
s3,p159,1
s3,p160,0
s3,p161,0
s3,p162,0
s3,p163,1
s3,p164,1
s3,p165,1
s3,p166,0
s3,p167,1
s3,p168,1
s3,p169,0
s3,p170,0
s3,p171,1
s3,p172,1
s3,p173,1
s3,p174,0
s3,p175,1
s3,p176,0
s3,p177,0
s3,p178,0
s3,p179,1
s3,p180,1
s3,p181,0
s3,p182,1
s3,p183,1
s3,p184,0
s3,p185,1
s3,p186,0
s3,p187,1
s3,p188,1
s3,p189,1
s3,p190,1
s3,p191,0
s3,p192,0
s3,p193,1
s3,p194,0
s3,p195,1
s3,p196,1
s3,p197,1
s3,p198,1
s3,p199,0
s3,p200,0
s4,p1,0
s4,p2,1
s4,p3,1
s4,p4,1
s4,p5,1
s4,p6,1
s4,p7,1
s4,p8,1
s4,p9,1
s4,p10,1
s4,p11,1
s4,p12,1
s4,p13,1
s4,p14,1
s4,p15,1
s4,p16,1
s4,p17,1
s4,p18,1
s4,p19,0
s4,p20,0
s4,p21,1
s4,p22,1
s4,p23,0
s4,p24,1
s4,p25,0
s4,p26,1
s4,p27,1
s4,p28,1
s4,p29,0
s4,p30,0
s4,p31,1
s4,p32,0
s4,p33,1
s4,p34,1
s4,p35,1
s4,p36,1
s4,p37,0
s4,p38,1
s4,p39,1
s4,p40,1
s4,p41,1
s4,p42,1
s4,p43,1
s4,p44,1
s4,p45,1
s4,p46,1
s4,p47,0
s4,p48,1
s4,p49,0
s4,p50,1
s4,p51,1
s4,p52,0
s4,p53,1
s4,p54,1
s4,p55,1
s4,p56,1
s4,p57,1
s4,p58,0
s4,p59,0
s4,p60,1
s4,p61,1
s4,p62,1
s4,p63,1
s4,p64,1
s4,p65,1
s4,p66,1
s4,p67,1
s4,p68,0
s4,p69,0
s4,p70,1
s4,p71,1
s4,p72,1
s4,p73,1
s4,p74,0
s4,p75,1
s4,p76,0
s4,p77,0
s4,p78,1
s4,p79,1
s4,p80,1
s4,p81,0
s4,p82,1
s4,p83,1
s4,p84,1
s4,p85,0
s4,p86,1
s4,p87,1
s4,p88,0
s4,p89,1
s4,p90,1
s4,p91,1
s4,p92,1
s4,p93,0
s4,p94,1
s4,p95,1
s4,p96,1
s4,p97,0
s4,p98,1
s4,p99,0
s4,p100,1
s4,p101,1
s4,p102,1
s4,p103,1
s4,p104,0
s4,p105,1
s4,p106,1
s4,p107,0
s4,p108,1
s4,p109,1
s4,p110,1
s4,p111,0
s4,p112,1
s4,p113,1
s4,p114,1
s4,p115,1
s4,p116,0
s4,p117,1
s4,p118,0
s4,p119,1
s4,p120,0
s4,p121,0
s4,p122,1
s4,p123,0
s4,p124,1
s4,p125,1
s4,p126,1
s4,p127,1
s4,p128,1
s4,p129,0
s4,p130,1
s4,p131,1
s4,p132,1
s4,p133,1
s4,p134,1
s4,p135,1
s4,p136,1
s4,p137,0
s4,p138,1
s4,p139,0
s4,p140,1
s4,p141,0
s4,p142,1
s4,p143,1
s4,p144,1
s4,p145,0
s4,p146,0
s4,p147,1
s4,p148,1
s4,p149,0
s4,p150,1
s4,p151,1
s4,p152,1
s4,p153,1
s4,p154,1
s4,p155,1
s4,p156,0
s4,p157,1
s4,p158,0
s4,p159,1
s4,p160,0
s4,p161,1
s4,p162,1
s4,p163,1
s4,p164,1
s4,p165,1
s4,p166,1
s4,p167,1
s4,p168,1
s4,p169,1
s4,p170,1
s4,p171,0
s4,p172,1
s4,p173,1
s4,p174,0
s4,p175,0
s4,p176,0
s4,p177,0
s4,p178,1
s4,p179,1
s4,p180,1
s4,p181,1
s4,p182,0
s4,p183,1
s4,p184,0
s4,p185,1
s4,p186,0
s4,p187,0
s4,p188,1
s4,p189,1
s4,p190,0
s4,p191,1
s4,p192,0
s4,p193,1
s4,p194,1
s4,p195,1
s4,p196,1
s4,p197,1
s4,p198,0
s4,p199,0
s4,p200,1
s5,p1,1
s5,p2,1
s5,p3,1
s5,p4,1
s5,p5,1
s5,p6,1
s5,p7,1
s5,p8,0
s5,p9,0
s5,p10,0
s5,p11,0
s5,p12,1
s5,p13,1
s5,p14,0
s5,p15,0
s5,p16,0
s5,p17,1
s5,p18,1
s5,p19,0
s5,p20,1
s5,p21,0
s5,p22,1
s5,p23,1
s5,p24,0
s5,p25,1
s5,p26,1
s5,p27,0
s5,p28,0
s5,p29,0
s5,p30,0
s5,p31,0
s5,p32,0
s5,p33,1
s5,p34,0
s5,p35,1
s5,p36,1
s5,p37,1
s5,p38,1
s5,p39,1
s5,p40,0
s5,p41,0
s5,p42,1
s5,p43,1
s5,p44,0
s5,p45,0
s5,p46,1
s5,p47,1
s5,p48,1
s5,p49,1
s5,p50,1
s5,p51,1
s5,p52,0
s5,p53,1
s5,p54,1
s5,p55,1
s5,p56,1
s5,p57,1
s5,p58,1
s5,p59,1
s5,p60,0
s5,p61,0
s5,p62,0
s5,p63,0
s5,p64,0
s5,p65,1
s5,p66,1
s5,p67,0
s5,p68,1
s5,p69,1
s5,p70,1
s5,p71,1
s5,p72,0
s5,p73,1
s5,p74,1
s5,p75,0
s5,p76,1
s5,p77,0
s5,p78,1
s5,p79,1
s5,p80,1
s5,p81,1
s5,p82,1
s5,p83,0
s5,p84,1
s5,p85,0
s5,p86,0
s5,p87,0
s5,p88,0
s5,p89,1
s5,p90,0
s5,p91,0
s5,p92,0
s5,p93,0
s5,p94,0
s5,p95,1
s5,p96,1
s5,p97,1
s5,p98,0
s5,p99,1
s5,p100,1
s5,p101,0
s5,p102,1
s5,p103,0
s5,p104,1
s5,p105,1
s5,p106,1
s5,p107,0
s5,p108,0
s5,p109,0
s5,p110,0
s5,p111,1
s5,p112,1
s5,p113,0
s5,p114,1
s5,p115,1
s5,p116,1
s5,p117,0
s5,p118,1
s5,p119,1
s5,p120,1
s5,p121,1
s5,p122,1
s5,p123,1
s5,p124,1
s5,p125,1
s5,p126,1
s5,p127,0
s5,p128,1
s5,p129,1
s5,p130,0
s5,p131,1
s5,p132,1
s5,p133,0
s5,p134,0
s5,p135,1
s5,p136,1
s5,p137,0
s5,p138,1
s5,p139,1
s5,p140,0
s5,p141,1
s5,p142,1
s5,p143,1
s5,p144,0
s5,p145,1
s5,p146,1
s5,p147,0
s5,p148,0
s5,p149,1
s5,p150,1
s5,p151,0
s5,p152,1
s5,p153,0
s5,p154,1
s5,p155,1
s5,p156,0
s5,p157,1
s5,p158,1
s5,p159,1
s5,p160,0
s5,p161,0
s5,p162,0
s5,p163,1
s5,p164,0
s5,p165,1
s5,p166,0
s5,p167,0
s5,p168,0
s5,p169,0
s5,p170,1
s5,p171,0
s5,p172,1
s5,p173,0
s5,p174,1
s5,p175,1
s5,p176,1
s5,p177,1
s5,p178,0
s5,p179,0
s5,p180,1
s5,p181,1
s5,p182,1
s5,p183,0
s5,p184,0
s5,p185,0
s5,p186,0
s5,p187,1
s5,p188,1
s5,p189,0
s5,p190,0
s5,p191,0
s5,p192,0
s5,p193,0
s5,p194,1
s5,p195,0
s5,p196,0
s5,p197,1
s5,p198,1
s5,p199,1
s5,p200,1
s6,p1,0
s6,p2,0
s6,p3,0
s6,p4,0
s6,p5,0
s6,p6,0
s6,p7,1
s6,p8,1
s6,p9,0
s6,p10,1
s6,p11,0
s6,p12,0
s6,p13,0
s6,p14,0
s6,p15,0
s6,p16,1
s6,p17,0
s6,p18,1
s6,p19,1
s6,p20,0
s6,p21,0
s6,p22,1
s6,p23,0
s6,p24,1
s6,p25,0
s6,p26,0
s6,p27,0
s6,p28,0
s6,p29,1
s6,p30,0
s6,p31,1
s6,p32,1
s6,p33,1
s6,p34,1
s6,p35,1
s6,p36,0
s6,p37,0
s6,p38,1
s6,p39,0
s6,p40,1
s6,p41,1
s6,p42,1
s6,p43,0
s6,p44,1
s6,p45,0
s6,p46,1
s6,p47,0
s6,p48,0
s6,p49,0
s6,p50,0
s6,p51,0
s6,p52,0
s6,p53,0
s6,p54,0
s6,p55,1
s6,p56,0
s6,p57,0
s6,p58,1
s6,p59,1
s6,p60,0
s6,p61,0
s6,p62,0
s6,p63,0
s6,p64,1
s6,p65,1
s6,p66,1
s6,p67,0
s6,p68,0
s6,p69,0
s6,p70,0
s6,p71,1
s6,p72,0
s6,p73,0
s6,p74,1
s6,p75,1
s6,p76,1
s6,p77,0
s6,p78,0
s6,p79,0
s6,p80,1
s6,p81,0
s6,p82,1
s6,p83,1
s6,p84,1
s6,p85,0
s6,p86,0
s6,p87,0
s6,p88,0
s6,p89,1
s6,p90,0
s6,p91,1
s6,p92,0
s6,p93,0
s6,p94,1
s6,p95,0
s6,p96,0
s6,p97,0
s6,p98,0
s6,p99,0
s6,p100,0
s6,p101,0
s6,p102,1
s6,p103,0
s6,p104,1
s6,p105,1
s6,p106,0
s6,p107,1
s6,p108,1
s6,p109,0
s6,p110,1
s6,p111,0
s6,p112,0
s6,p113,1
s6,p114,0
s6,p115,0
s6,p116,0
s6,p117,1
s6,p118,0
s6,p119,0
s6,p120,0
s6,p121,1
s6,p122,0
s6,p123,0
s6,p124,0
s6,p125,1
s6,p126,1
s6,p127,0
s6,p128,1
s6,p129,0
s6,p130,1
s6,p131,0
s6,p132,1
s6,p133,1
s6,p134,1
s6,p135,0
s6,p136,0
s6,p137,0
s6,p138,0
s6,p139,0
s6,p140,0
s6,p141,0
s6,p142,1
s6,p143,0
s6,p144,1
s6,p145,0
s6,p146,1
s6,p147,0
s6,p148,1
s6,p149,1
s6,p150,0
s6,p151,1
s6,p152,0
s6,p153,1
s6,p154,0
s6,p155,0
s6,p156,1
s6,p157,0
s6,p158,0
s6,p159,1
s6,p160,0
s6,p161,1
s6,p162,1
s6,p163,0
s6,p164,0
s6,p165,0
s6,p166,0
s6,p167,0
s6,p168,0
s6,p169,0
s6,p170,0
s6,p171,1
s6,p172,0
s6,p173,1
s6,p174,0
s6,p175,1
s6,p176,1
s6,p177,0
s6,p178,0
s6,p179,0
s6,p180,0
s6,p181,0
s6,p182,1
s6,p183,0
s6,p184,0
s6,p185,1
s6,p186,1
s6,p187,1
s6,p188,0
s6,p189,0
s6,p190,1
s6,p191,0
s6,p192,0
s6,p193,0
s6,p194,0
s6,p195,0
s6,p196,0
s6,p197,1
s6,p198,0
s6,p199,0
s6,p200,0
s7,p1,1
s7,p2,1
s7,p3,0
s7,p4,1
s7,p5,1
s7,p6,1
s7,p7,0
s7,p8,1
s7,p9,0
s7,p10,0
s7,p11,1
s7,p12,1
s7,p13,1
s7,p14,0
s7,p15,0
s7,p16,1
s7,p17,1
s7,p18,0
s7,p19,0
s7,p20,0
s7,p21,1
s7,p22,1
s7,p23,0
s7,p24,1
s7,p25,0
s7,p26,0
s7,p27,0
s7,p28,1
s7,p29,0
s7,p30,0
s7,p31,1
s7,p32,1
s7,p33,0
s7,p34,0
s7,p35,1
s7,p36,0
s7,p37,0
s7,p38,0
s7,p39,1
s7,p40,1
s7,p41,0
s7,p42,0
s7,p43,0
s7,p44,1
s7,p45,0
s7,p46,1
s7,p47,0
s7,p48,0
s7,p49,0
s7,p50,0
s7,p51,0
s7,p52,1
s7,p53,1
s7,p54,1
s7,p55,0
s7,p56,1
s7,p57,1
s7,p58,0
s7,p59,1
s7,p60,0
s7,p61,0
s7,p62,1
s7,p63,0
s7,p64,1
s7,p65,0
s7,p66,1
s7,p67,0
s7,p68,0
s7,p69,0
s7,p70,1
s7,p71,1
s7,p72,1
s7,p73,0
s7,p74,1
s7,p75,0
s7,p76,0
s7,p77,1
s7,p78,1
s7,p79,1
s7,p80,1
s7,p81,0
s7,p82,0
s7,p83,0
s7,p84,1
s7,p85,0
s7,p86,0
s7,p87,0
s7,p88,0
s7,p89,1
s7,p90,0
s7,p91,1
s7,p92,0
s7,p93,1
s7,p94,0
s7,p95,0
s7,p96,0
s7,p97,1
s7,p98,0
s7,p99,1
s7,p100,0
s7,p101,1
s7,p102,0
s7,p103,0
s7,p104,0
s7,p105,1
s7,p106,1
s7,p107,1
s7,p108,0
s7,p109,0
s7,p110,0
s7,p111,0
s7,p112,1
s7,p113,0
s7,p114,1
s7,p115,1
s7,p116,1
s7,p117,0
s7,p118,1
s7,p119,0
s7,p120,0
s7,p121,1
s7,p122,0
s7,p123,0
s7,p124,0
s7,p125,0
s7,p126,1
s7,p127,1
s7,p128,1
s7,p129,0
s7,p130,0
s7,p131,0
s7,p132,1
s7,p133,1
s7,p134,0
s7,p135,1
s7,p136,0
s7,p137,0
s7,p138,0
s7,p139,0
s7,p140,0
s7,p141,0
s7,p142,0
s7,p143,0
s7,p144,0
s7,p145,0
s7,p146,1
s7,p147,0
s7,p148,0
s7,p149,1
s7,p150,0
s7,p151,1
s7,p152,0
s7,p153,0
s7,p154,0
s7,p155,1
s7,p156,0
s7,p157,0
s7,p158,0
s7,p159,0
s7,p160,0
s7,p161,0
s7,p162,0
s7,p163,1
s7,p164,0
s7,p165,0
s7,p166,0
s7,p167,0
s7,p168,0
s7,p169,0
s7,p170,0
s7,p171,0
s7,p172,0
s7,p173,1
s7,p174,1
s7,p175,0
s7,p176,1
s7,p177,1
s7,p178,0
s7,p179,0
s7,p180,0
s7,p181,1
s7,p182,0
s7,p183,0
s7,p184,1
s7,p185,1
s7,p186,0
s7,p187,1
s7,p188,1
s7,p189,0
s7,p190,1
s7,p191,1
s7,p192,1
s7,p193,1
s7,p194,0
s7,p195,0
s7,p196,0
s7,p197,0
s7,p198,0
s7,p199,1
s7,p200,0
s8,p1,1
s8,p2,0
s8,p3,1
s8,p4,1
s8,p5,1
s8,p6,1
s8,p7,1
s8,p8,0
s8,p9,0
s8,p10,1
s8,p11,0
s8,p12,1
s8,p13,1
s8,p14,1
s8,p15,0
s8,p16,1
s8,p17,1
s8,p18,1
s8,p19,0
s8,p20,0
s8,p21,1
s8,p22,0
s8,p23,0
s8,p24,1
s8,p25,0
s8,p26,0
s8,p27,1
s8,p28,1
s8,p29,1
s8,p30,1
s8,p31,0
s8,p32,0
s8,p33,0
s8,p34,1
s8,p35,0
s8,p36,0
s8,p37,1
s8,p38,0
s8,p39,0
s8,p40,1
s8,p41,0
s8,p42,0
s8,p43,1
s8,p44,0
s8,p45,0
s8,p46,0
s8,p47,1
s8,p48,0
s8,p49,1
s8,p50,1
s8,p51,0
s8,p52,0
s8,p53,1
s8,p54,0
s8,p55,0
s8,p56,1
s8,p57,1
s8,p58,1
s8,p59,0
s8,p60,0
s8,p61,1
s8,p62,0
s8,p63,1
s8,p64,1
s8,p65,1
s8,p66,0
s8,p67,0
s8,p68,0
s8,p69,0
s8,p70,1
s8,p71,1
s8,p72,0
s8,p73,0
s8,p74,0
s8,p75,0
s8,p76,0
s8,p77,1
s8,p78,1
s8,p79,1
s8,p80,0
s8,p81,0
s8,p82,1
s8,p83,1
s8,p84,1
s8,p85,1
s8,p86,1
s8,p87,0
s8,p88,0
s8,p89,1
s8,p90,1
s8,p91,1
s8,p92,0
s8,p93,1
s8,p94,0
s8,p95,0
s8,p96,0
s8,p97,1
s8,p98,1
s8,p99,0
s8,p100,1
s8,p101,0
s8,p102,0
s8,p103,0
s8,p104,1
s8,p105,1
s8,p106,0
s8,p107,1
s8,p108,0
s8,p109,1
s8,p110,0
s8,p111,0
s8,p112,0
s8,p113,0
s8,p114,1
s8,p115,0
s8,p116,0
s8,p117,0
s8,p118,1
s8,p119,0
s8,p120,1
s8,p121,1
s8,p122,1
s8,p123,1
s8,p124,0
s8,p125,0
s8,p126,0
s8,p127,1
s8,p128,1
s8,p129,1
s8,p130,0
s8,p131,0
s8,p132,1
s8,p133,0
s8,p134,0
s8,p135,1
s8,p136,1
s8,p137,1
s8,p138,0
s8,p139,0
s8,p140,0
s8,p141,1
s8,p142,0
s8,p143,0
s8,p144,1
s8,p145,1
s8,p146,1
s8,p147,0
s8,p148,0
s8,p149,1
s8,p150,1
s8,p151,1
s8,p152,0
s8,p153,0
s8,p154,0
s8,p155,0
s8,p156,1
s8,p157,1
s8,p158,0
s8,p159,1
s8,p160,0
s8,p161,0
s8,p162,0
s8,p163,1
s8,p164,0
s8,p165,1
s8,p166,1
s8,p167,1
s8,p168,0
s8,p169,0
s8,p170,0
s8,p171,1
s8,p172,1
s8,p173,1
s8,p174,1
s8,p175,0
s8,p176,0
s8,p177,0
s8,p178,0
s8,p179,1
s8,p180,0
s8,p181,1
s8,p182,0
s8,p183,0
s8,p184,0
s8,p185,0
s8,p186,0
s8,p187,1
s8,p188,0
s8,p189,1
s8,p190,0
s8,p191,1
s8,p192,0
s8,p193,0
s8,p194,1
s8,p195,0
s8,p196,0
s8,p197,1
s8,p198,1
s8,p199,1
s8,p200,0
s9,p1,1
s9,p2,1
s9,p3,1
s9,p4,0
s9,p5,0
s9,p6,1
s9,p7,1
s9,p8,1
s9,p9,0
s9,p10,1
s9,p11,1
s9,p12,1
s9,p13,1
s9,p14,1
s9,p15,1
s9,p16,0
s9,p17,1
s9,p18,0
s9,p19,0
s9,p20,0
s9,p21,0
s9,p22,1
s9,p23,0
s9,p24,1
s9,p25,1
s9,p26,1
s9,p27,0
s9,p28,0
s9,p29,0
s9,p30,1
s9,p31,1
s9,p32,0
s9,p33,0
s9,p34,1
s9,p35,0
s9,p36,1
s9,p37,1
s9,p38,0
s9,p39,1
s9,p40,1
s9,p41,1
s9,p42,0
s9,p43,1
s9,p44,0
s9,p45,0
s9,p46,0
s9,p47,0
s9,p48,1
s9,p49,1
s9,p50,0
s9,p51,0
s9,p52,1
s9,p53,0
s9,p54,1
s9,p55,1
s9,p56,0
s9,p57,0
s9,p58,0
s9,p59,1
s9,p60,1
s9,p61,1
s9,p62,0
s9,p63,1
s9,p64,1
s9,p65,0
s9,p66,0
s9,p67,1
s9,p68,1
s9,p69,1
s9,p70,0
s9,p71,0
s9,p72,0
s9,p73,1
s9,p74,0
s9,p75,1
s9,p76,0
s9,p77,1
s9,p78,0
s9,p79,0
s9,p80,0
s9,p81,1
s9,p82,0
s9,p83,0
s9,p84,0
s9,p85,1
s9,p86,1
s9,p87,1
s9,p88,1
s9,p89,0
s9,p90,0
s9,p91,1
s9,p92,1
s9,p93,1
s9,p94,1
s9,p95,1
s9,p96,0
s9,p97,0
s9,p98,0
s9,p99,1
s9,p100,0
s9,p101,1
s9,p102,0
s9,p103,1
s9,p104,1
s9,p105,0
s9,p106,0
s9,p107,1
s9,p108,0
s9,p109,1
s9,p110,1
s9,p111,1
s9,p112,1
s9,p113,1
s9,p114,0
s9,p115,0
s9,p116,1
s9,p117,0
s9,p118,1
s9,p119,1
s9,p120,0
s9,p121,0
s9,p122,1
s9,p123,1
s9,p124,0
s9,p125,1
s9,p126,0
s9,p127,1
s9,p128,1
s9,p129,0
s9,p130,0
s9,p131,0
s9,p132,0
s9,p133,1
s9,p134,1
s9,p135,1
s9,p136,0
s9,p137,0
s9,p138,0
s9,p139,1
s9,p140,0
s9,p141,0
s9,p142,0
s9,p143,1
s9,p144,1
s9,p145,1
s9,p146,0
s9,p147,1
s9,p148,1
